source_city,dest_city,num_airlines
Athens,Hamburg,1
Athens,Helsinki,1
Athens,Izmir,1
Athens,Kastoria,1
Athens,Kozani,1
Athens,Krasnodar,1
Athens,Malta,1
Athens,Montreal,1
Athens,Nashville,1
Athens,Paphos,1
Athens,Prague,1
Athens,Riga,1
Athens,Sitia,1
Athens,Split,1
Athens,St. Petersburg,1
Athens,Stuttgart,1
Athens,Tbilisi,1
Athens,Toronto,1
Athens,Toulouse,1
Athens,Yerevan,1
Athens,Zurich,1
Atiu Island,Avarua,1
Atka,Unalaska,1
Atlanta,Belize City,1
Atlanta,Bermuda,1
Atlanta,Bogota,1
Atlanta,Brasilia,1
Atlanta,Buenos Aires,1
Atlanta,Caracas,1
Atlanta,Del Bajio,1
Atlanta,Dubai,1
Atlanta,Fargo,1
Atlanta,Freeport,1
Atlanta,Georgetown,1
